,t1,bin,roll_c,roll_sigma_u,parkinson_vol_20bar,corwin_schultz_spread,becker_parkinson_sigma,kyle_lambda,amihud_lambda_20bar,vpin_10bar,round_number_fraction,serial_corr_signed_flow,tick_rule_accuracy,fracdiff,w
2026-08-07 20:04:48.454007,2026-08-10 15:30:09.943000,-1.0,0.0,205.40871063742927,0.0027767750255113612,0.0,0.004190011624746314,-0.17727066630673508,1.57982621275922e-08,0.548655005888884,0.0048543689320388345,0.23652916063778787,0.8155339805825242,1.415740211454498,0.8823412566489607
2026-08-09 14:57:52.661000,2026-08-10 13:55:10.174002,-1.0,0.0,195.04021664789624,0.0024566147362093437,4.4216509918241236e-05,0.0031659486097701346,54.61833815811825,1.5682833395100416e-08,0.562777836627497,0.007782101167315175,0.145175406634368,0.7626459143968871,1.4194005154622271,0.4469489594736589
2026-08-10 00:22:19.964000,2026-08-10 13:55:10.174002,-1.0,55.7187388082867,182.7686543763555,0.002710953925239864,0.00346138412029348,0.0027006745901193233,25.487101276716565,1.641162511976611e-08,0.5726004076114979,0.0,0.4760524009132299,0.822463768115942,1.4100992536344865,1.2088385725800712
2026-08-10 13:02:11.711000,2026-08-10 15:30:09.943000,-1.0,57.21804617078855,147.11759272791988,0.0026040808566276425,0.0020632480282143156,0.0020298796463464747,6.920111592749759,1.5217422608634878e-08,0.6391224367978307,0.0,0.33231707317073167,0.8243243243243243,1.4093723735040964,1.019565922960025
2026-08-10 13:55:10.174002,2026-08-10 16:44:32.906000,-1.0,0.0,194.5134941451655,0.0027246081330917007,0.0,0.007057108239781347,0.3617550954575549,1.641315288702187e-08,0.6210269989150913,0.006711409395973154,0.4337191999087586,0.7919463087248322,1.4064838274806686,2.10091218517955
2026-08-10 16:16:28.101000,2026-08-11 15:47:43.632000,-1.0,19.11073152332944,180.07184548110425,0.0027955985715670015,0.0008035810067619248,0.0012549834583885661,5.352589856847595,1.3750557377373746e-08,0.7434981502206192,0.0,0.311764705882353,0.85,1.4087760001342353,1.0926913279114816
2026-08-11 11:05:19.165000,2026-08-11 15:47:43.632000,-1.0,32.68144158351431,98.58616986086938,0.0016379066434939781,0.0,0.005784915555771051,5.494358874803217,1.0159061815056022e-08,0.5281743629316729,0.0,0.49324084772354804,0.61,1.4152469681422524,1.1946215609054132
2026-08-11 15:11:53.171000,2026-08-14 06:57:11.549000,-1.0,45.74964647228645,153.62655384698553,0.002023376967901228,2.866628209181488e-06,0.00442805889883391,99.31578848961085,1.3154289640700015e-08,0.5794656308276126,0.007326007326007326,0.3451024117002605,0.652014652014652,1.403041978508238,2.4296344434632244
2026-08-11 18:39:28.912000,2026-08-12 09:31:47.914000,1.0,0.0,179.9740568398937,0.0021447281202112874,0.0,0.003659892830769728,0.205066032817997,1.2451584700635378e-08,0.7754069251068262,0.0,0.21995101913261328,0.8363636363636363,1.4074526990720475,1.0968753014897201
2026-08-11 20:12:00.362007,2026-08-14 06:57:11.549000,-1.0,0.0,198.00148664122318,0.0020635830399008534,0.0,0.0035330214800812503,0.6987417412467073,1.3954826550916653e-08,0.7810327829265149,0.0,0.6449020216370241,0.8695652173913043,1.413455921733071,0.23563825570667568
2026-08-12 09:31:47.914000,2026-08-12 18:19:41.515008,-1.0,0.0,195.860601635031,0.0022160002442748743,0.0014037135966652604,0.002346745268529106,5.481933220308019,1.3390941740734981e-08,0.6047300636759457,0.0,0.3693843106777674,0.7540983606557377,1.4144945422027355,0.6937448447788455
2026-08-12 15:32:20.835000,2026-08-14 09:52:12.046001,-1.0,0.0,209.75629721708464,0.0023855409649413814,0.0,0.006677419715473122,-0.8918170958529567,1.488479221512398e-08,0.769704807229984,0.007407407407407408,0.41769756040089384,0.674074074074074,1.4015934478962446,1.7983831704615443
2026-08-13 06:51:36.395000,2026-08-13 16:37:57.399000,-1.0,0.0,171.10390736427183,0.0022532581156099224,0.0,0.005806973784376413,0.15366403728702965,1.3272544276330316e-08,0.6072306050757158,0.0,-0.08571428571428565,0.6689655172413793,1.4138329176778939,0.37834445176002135
2026-08-13 11:34:39.944000,2026-08-13 14:49:08.967000,1.0,0.0,200.34821048176465,0.002461668963516938,0.0,0.004044309816565585,-46.16691957444834,1.50122459202453e-08,0.5240398791443072,0.00847457627118644,0.41153846153846163,0.5932203389830508,1.4063858736613497,0.2895289988793447
2026-08-13 13:04:24.642004,2026-08-13 16:37:57.399000,-1.0,39.184914506145006,185.446186800143,0.0025247721036549954,0.005207540817846653,0.000543599062050034,14.504671397188593,1.2745901893370919e-08,0.5038121899285553,0.0,0.5427092530382481,0.64,1.414397504632701,0.12070244613301477
2026-08-13 15:29:48.228000,2026-08-14 06:57:11.549000,-1.0,0.0,163.7215941534114,0.0020477482642985005,0.0,0.0034561525580757363,-2.23500878319579,1.3630997464748417e-08,0.6511808446754226,0.0,-0.1348399724926484,0.6153846153846154,1.407983817890278,0.7480572528312016
2026-08-13 16:29:26.896000,2026-08-14 09:52:12.046001,-1.0,0.0,180.41069399489427,0.0021698263609401048,0.0006342326647166739,0.0023149493924988244,17.045051648720435,1.50508230608928e-08,0.7515932274964698,0.0,0.6400261077368838,0.8536585365853658,1.4072996577128833,0.9217418968099146
2026-08-13 22:07:22.840007,2026-08-14 06:57:11.549000,-1.0,13.777651611147451,72.54526709728536,0.0015291327656101535,0.0,0.001091305484514886,2.915192375386811,5.389004810292351e-09,0.743697796432319,0.012658227848101266,-0.11329170383586079,0.9367088607594937,1.41137644437954,0.4982026262550752
2026-08-14 09:52:12.046001,2026-08-14 16:39:19.122004,1.0,0.0,103.36004414748263,0.0013318623562715134,0.0,0.004571525312533901,1.978648066268417,6.982051959462562e-09,0.6822565965819968,0.02727272727272727,0.328623188405797,0.6818181818181818,1.404838250987467,1.1215377323975722
2026-08-14 16:13:05.281000,2026-08-16 22:41:52.250001,-1.0,0.0,136.51984667094638,0.0017212910300405586,0.0,0.00626362804065481,-11.24116380489443,9.326167279856808e-09,0.6050351920586456,0.014705882352941176,0.37198090701267716,0.6470588235294118,1.4123621265756263,0.15124620710498482
2026-08-14 22:30:58.639000,2026-08-16 16:18:28.259000,1.0,0.0,145.3139273410123,0.001960694995560523,0.0003952668899382434,0.002884985980299933,17.26449899803504,1.1229507278840151e-08,0.5653175732936009,0.007444168734491315,-0.1051614820685555,0.7022332506203474,1.40418178359978,0.11689587642496686
2026-08-15 03:19:55.115000,2026-08-16 21:40:11.979001,-1.0,66.54539123368696,122.55165043577362,0.0019986416261105013,2.220446049250313e-16,0.00021827378580929172,0.8631251600602411,1.4405965677821101e-08,0.6205991791382811,0.0,0.7021124388820101,0.23255813953488372,1.4101806327748392,0.5540217743900437
2026-08-16 16:20:14.443000,2026-08-16 21:40:06.572000,-1.0,79.56489194619415,45.58097500426008,0.0015208021209940192,0.0,0.0027135831797344525,2.1723745452214268e-05,1.0432349828616134e-08,0.6867585121302454,0.0,0.6324555320336758,0.8571428571428571,1.411179612934788,0.8987372777254459
2026-08-16 21:40:06.572000,2026-08-17 02:52:34.254000,1.0,0.0,123.28743236072224,0.0015544694499155338,6.134839686170695e-05,0.0029751627735690143,-51.37632688069294,9.048046058222538e-09,0.635862017974894,0.003236245954692557,0.4094876867624227,0.8220064724919094,1.4051839306418437,1.4895418342079838
2026-08-17 01:06:29.031001,2026-08-17 06:51:11.370002,1.0,8.175845736614022,133.74967405010233,0.0017678663984458105,0.002122310264566082,0.0019212422042251612,48.57223492457491,1.2072451538842796e-08,0.552689461986181,0.012875536480686695,0.45153317378882957,0.8111587982832618,1.4142191796695016,3.2086599407460294
2026-08-17 06:51:11.370002,2026-08-17 15:28:58.351000,1.0,0.0,210.59525462121982,0.002080837878046743,0.0,0.007523159443501647,135.2980334510975,1.5335439377275422e-08,0.405478366849482,0.007042253521126761,0.3429234807187564,0.7676056338028169,1.416051567356778,2.1850131470926826
2026-08-17 15:28:58.351000,2026-08-17 23:31:27.538000,1.0,0.0,215.61258629380606,0.002426026327185527,0.0,0.004425023549048397,73.53790896332877,1.7675961795754492e-08,0.4016564628974481,0.0,0.4359211175445973,0.6889763779527559,1.4171964232785577,3.699225141128279
2026-08-17 19:17:43.472000,2026-08-19 13:46:37.678000,1.0,0.0,224.7463813404209,0.002676036640080645,4.175279789201226e-05,0.002160435425274082,73.55806727631706,2.001362710951431e-08,0.3519214244319658,0.00980392156862745,0.3732603243823971,0.7598039215686274,1.4137311442733136,0.07788446852667133
2026-08-18 03:14:51.072001,2026-08-18 14:26:43.593001,1.0,0.0,250.50415088709912,0.0027458391227780455,0.0,0.004993958592834221,33.72553950943835,2.239096279569029e-08,0.4614399259012008,0.0,0.4984629209219088,0.5454545454545454,1.4093465859215932,1.2771899036253362
2026-08-18 14:26:43.593001,2026-08-19 14:17:14.029005,1.0,0.0,269.3438349296128,0.003145434706460701,0.0,0.005094826179495981,31.34814858266823,2.4309332694382052e-08,0.5463681373838345,0.04032258064516129,0.42790697674418604,0.7661290322580645,1.4220741433222788,2.73506289382649
2026-08-19 01:08:24.373000,2026-08-19 14:06:34.686000,1.0,0.0,215.2718272840017,0.002611037814476941,3.6615167138981916e-05,0.0023343211121361783,2.094677852355998,1.784180160451526e-08,0.5648462448029455,0.010256410256410256,0.5623590074121818,0.4307692307692308,1.4088026311601105,0.8668550143037561
2026-08-19 13:46:37.678000,2026-08-19 14:55:14.179000,1.0,0.0,243.6775454299279,0.002766935505437215,0.0,0.007388013358854336,161.79644601508795,1.8908788349286952e-08,0.5139197698273149,0.014492753623188406,0.418907250286437,0.7391304347826086,1.4217767127844958,2.611979458949217
2026-08-19 14:17:14.029005,2026-08-19 15:05:18.002000,1.0,0.0,270.59442523200204,0.0028405112956521863,0.0,0.0041276973563576565,-3.9739386593901966,1.949387319908371e-08,0.557389419248277,0.0,0.4123076923076924,0.7692307692307693,1.418812450241136,2.1089829608374804
2026-08-19 14:55:14.179000,2026-08-19 15:07:49.253000,1.0,0.0,268.05130487573615,0.00296220370562922,0.0,0.005333966160485778,32.03829725623444,2.1823556454183763e-08,0.6074173174838731,0.02666666666666667,0.454461896962766,0.8466666666666667,1.4217096049127367,2.65578671406601
2026-08-19 15:05:18.002000,2026-08-19 15:24:27.235000,1.0,0.0,246.53294075684065,0.0025311848300554607,0.00020105737698762984,0.002177304383190087,5.273980869615282,2.124198822495266e-08,0.6224871679921636,0.028985507246376812,0.4588859416445624,0.8115942028985508,1.4196768579226653,3.1345107250923716
2026-08-19 15:13:37.965000,2026-08-19 15:26:45.020000,1.0,0.0,233.78697353667576,0.0025138609419710456,0.0,0.0017862449604423491,-0.932894149387138,2.146862079846849e-08,0.7191259384279276,0.0,0.4570135746606336,0.7096774193548387,1.418504269437694,2.2846352973381565
2026-08-19 15:24:27.235000,2026-08-19 15:27:34.006000,1.0,17.99566504005647,190.28296867755245,0.0027027952023051457,0.0,0.004117524974705036,-14.90743112383406,2.5321666881803692e-08,0.7059346803914093,0.04054054054054054,0.23319327731092437,0.8378378378378378,1.4250944663992833,3.8934173337584874
2026-08-19 15:27:34.006000,2026-08-19 15:27:59.897000,1.0,50.893773731942396,194.8421956410421,0.0030393496629659987,0.0,0.009924842818707858,-20.931736878705905,3.067735078128579e-08,0.6820949051307459,0.02,0.49873417721518987,0.9,1.4295664863317725,5.254698929624156
2026-08-19 15:27:39.116000,2026-08-19 21:07:29.433000,1.0,0.0,238.401618975085,0.0032052264414052377,0.0,0.013068948472351244,86.54473423339017,3.3542309156723144e-08,0.7218624477416181,0.05454545454545454,-0.08000000000000004,0.9636363636363636,1.4308615063826835,2.649369753187218
2026-08-19 15:27:45.549000,2026-08-20 08:07:19.390000,1.0,0.0,240.47662730277594,0.0032620215393531337,0.0,0.010044412510458496,216.91016337281798,3.5420594602235985e-08,0.7020338130629372,0.018518518518518517,0.42506391381975717,0.8148148148148148,1.4292154376466257,0.9080984843743404
2026-08-19 15:27:59.897000,2026-08-19 15:31:49.250001,-1.0,0.0,268.7805386432087,0.0036325671802953856,0.0,0.0077779770494671805,848.2853351315168,3.488607493338021e-08,0.6573825723613232,0.028037383177570093,0.38550724637681144,0.7009345794392523,1.4326642379457137,1.504584886736628
