continuation_prob,seed,n_bars,n_events,n_events_enriched,fracdiff_d,bar_lag1_autocorr,T_raw,tw_mean,T_effective,sr_hat,dsr,pbo,skew,kurtosis,n_trials,wall_clock_sec,error
0.51,42,2987,349,349,0.0,0.005431809362706653,2381,0.19312006325441336,459.81887060875823,0.05172828199761371,0.8235797085213872,0.7792207792207793,0.36044799270894956,6.131701917280024,20,23.961688995361328,
0.51,43,2987,427,427,0.2,0.03618662179564573,837,0.17468832017776822,146.214123988792,-0.005530699502542469,0.423127931688195,0.3354978354978355,-0.0352854068503576,2.996269969317942,20,26.12510657310486,
0.51,44,2987,379,379,0.4,0.04811660841557439,2732,0.2138120273703915,584.1344587759096,0.004480621508897971,0.43508056049267746,0.1396103896103896,0.006490603902549578,5.399642264737947,20,25.48230481147766,
0.51,45,2987,340,340,0.6000000000000001,0.036957682256098585,2709,0.23405577519254056,634.0570949965924,0.04091051560243373,0.8231798146979343,0.27056277056277056,0.05499853596392963,5.066540640311669,20,26.972931146621704,
0.51,46,2987,366,366,0.0,0.040922240082319095,1292,0.21532321304037327,278.19759124816227,0.0302787302968586,0.5978973504696885,0.5248917748917749,0.033867979347003654,4.36794563812791,20,26.81619930267334,
0.51,47,2987,405,405,0.30000000000000004,0.008923384696800466,1115,0.2089584062146135,232.98862292929405,0.015061325222485478,0.49054477503232863,0.1937229437229437,0.06408228428777084,3.5715080205461485,20,28.83946180343628,
0.51,48,2987,336,336,0.1,0.01603565287486599,2606,0.21895988768385716,570.6094673041317,0.010338940954611972,0.4586860220158318,0.5854978354978355,0.08287497110817674,6.78951075454788,20,27.099842309951782,
0.51,49,2987,366,366,0.4,0.017732328430588234,2181,0.22423795669433338,489.06298355034113,0.014249640397098046,0.4128440649269604,0.050865800865800864,-0.01812814131128237,3.0014295900972066,20,32.609755516052246,
0.515,0,2987,492,492,0.5,0.04757093015771299,2073,0.14397623443141772,298.46273397632893,0.030181440554048887,0.6500122127475254,0.2694805194805195,-0.09812805431807049,4.056664168956269,20,32.89934802055359,
0.515,1,2987,450,450,0.2,0.0528764285348003,762,0.16043276055995218,122.24976354668355,0.03840455656480645,0.550191300690586,0.3961038961038961,0.21275161642606272,3.717904310277988,20,38.39839839935303,
0.515,2,2987,441,441,0.30000000000000004,0.06947280492463152,1340,0.19884382954352467,266.45073158832304,0.0064326639740245675,0.44969814235160654,0.1471861471861472,0.02623311381256272,3.1066845011039477,20,40.57948637008667,
0.515,3,2987,374,374,0.5,0.05645343792676841,2300,0.20756595872728995,477.4017050727669,0.04568407002910255,0.7861832989075915,0.07467532467532467,0.1863347998088933,4.81441261955725,20,38.53562569618225,
0.515,4,2987,419,419,0.2,0.040205028479447055,2843,0.15232491111089386,433.05972228827125,0.01541790208196624,0.5712599671893906,0.5238095238095238,0.18070135176220267,5.654283745104607,20,34.54483366012573,
0.515,5,2987,368,368,0.4,0.04067062198315982,1015,0.21995465779218132,223.25397765906405,0.013181394924411576,0.5365667786637763,0.6504329004329005,-0.1395087961656142,3.3162471143194185,20,29.393563985824585,
0.515,6,2987,448,448,0.4,0.023569494134728274,1441,0.17307918415888995,249.40710437296042,-0.033595107191123796,0.27287407871935254,0.6991341991341992,-0.011284670871825662,3.9986097477457405,20,42.28254842758179,
0.515,7,2987,410,410,0.30000000000000004,0.06028176902417713,1019,0.1902836787182127,193.89906861385873,0.024486140799476763,0.5507077945462929,0.39826839826839827,0.06535933093672808,2.993867924272312,20,48.4558846950531,
0.515,8,2987,396,396,0.30000000000000004,0.07617054384665425,1274,0.19725874115089023,251.30763622623417,0.0030053928170628826,0.44083311970116373,0.33116883116883117,-0.21184047752643217,4.37652113260806,20,41.298468828201294,
0.515,9,2987,328,328,0.6000000000000001,0.054777810568231396,2792,0.24889835900224463,694.924218334267,0.04743775955566315,0.8825243758796141,0.7911255411255411,-0.03056041103602051,3.5792372703293096,20,28.577228546142578,
0.515,10,2987,441,441,0.30000000000000004,0.07478631873157553,2199,0.1827501955903215,401.867680103117,-0.011908251018958496,0.3419232255464886,0.7391774891774892,-0.048180140182203096,5.242201201862393,20,37.66559171676636,
0.515,11,2987,425,425,0.1,0.04814777644703701,2245,0.1387712358926596,311.5414245790208,0.016203632627734322,0.5670790763648572,0.7683982683982684,0.019704961866038706,4.227937498428231,20,38.72721982002258,
0.515,12,2987,406,406,0.30000000000000004,0.0549027221330684,658,0.17033382877792483,112.07965933587454,-0.02019051717658386,0.3772622401149266,0.6666666666666666,0.01081289139227927,2.811834373191706,20,41.37021040916443,
0.515,13,2987,427,427,0.1,0.04924858223604651,1019,0.1664370786577312,169.59938315222809,0.008415818693944362,0.418781196297555,0.5411255411255411,0.20815704570118188,3.2418994757221493,20,41.77099013328552,
0.515,14,2987,493,493,0.5,0.03334685331360012,2109,0.14438213434586433,304.5019213354279,0.03412674940906194,0.6743865402593393,0.4880952380952381,0.17984450611398425,5.04325619735279,20,45.8163537979126,
