edge_strength,seed,roll_window,raw_signal_corr,n_full,corr_full,n_nonoverlap,corr_nonoverlap,corr_ratio,wall_clock_sec,error
1.5,11,20,0.39857463104188195,977,-0.0123760228277612,49,0.03018134626781314,-2.438695103253368,12.295349836349487,
1.5,12,20,0.4006026708165371,977,-0.029729028559418075,49,-0.2714556027681212,9.130994718699775,11.823337316513062,
1.5,13,20,0.3762869904090041,3204,0.06743712707474146,161,0.06007545200904226,0.8908364667204735,25.675393104553223,
1.5,14,20,0.3685733910612726,977,0.10073042192823632,49,0.16291396386168577,1.6173263324336222,11.984837770462036,
1.5,15,20,0.3813919329777795,977,0.14570989829819259,49,-0.169432409964985,-1.162806452710884,12.722305536270142,
1.5,16,20,0.38460657474553084,977,0.003035732551470609,49,,,11.954781770706177,
1.5,17,20,0.40958735432196686,977,0.04830463591797064,49,0.3076731131448042,6.3694324012147545,12.610191106796265,
1.5,18,20,0.43418764316502817,977,0.07747381298912039,49,,,13.0485360622406,
1.5,19,20,0.39570958121685607,977,0.06746162912706387,49,-0.2433266636547267,-3.6068898246797643,12.028884410858154,
1.5,20,20,0.3915744165914915,1156,0.11207240148462787,58,-0.08954254839112485,-0.7989705512235922,12.579971551895142,
1.5,21,20,0.39521285063821565,977,0.001808714632687728,49,-0.09516952259440213,-52.61721272911989,11.871889352798462,
1.5,22,20,0.44793368717878657,977,-0.024613309118071025,49,-0.030314644887531675,1.2316362965301055,11.86075496673584,
1.5,23,20,0.4320076030376114,47154,0.03776441791237324,2358,0.12602237659907364,3.3370665712759022,547.5590488910675,
1.5,24,20,0.3868902451836691,1030,-0.10482867891062422,52,-0.6508531322953437,6.208731609126295,13.064990520477295,
1.5,25,20,0.39609152666679454,977,0.08940670348713606,49,-0.14715055888241466,-1.6458559944958362,12.689011812210083,
1.5,26,20,0.422984542746972,977,0.050379544470030055,49,,,12.384582281112671,
1.5,27,20,0.40812074566858814,977,-0.030063644998879913,49,-0.1183622434753533,3.9370556524254843,12.813365936279297,
1.5,28,20,0.4200477842788046,977,0.04910680744234968,49,0.0917518905010042,1.8684148956072724,13.281102418899536,
1.5,29,20,0.4061197523580016,977,0.06439808352316634,49,-0.01226642547859303,-0.19047811374977255,12.44689679145813,
2.0,5,20,0.4433292521270149,976,0.04987920756664973,49,0.20778112952593222,4.165686258112468,10.42969536781311,
2.0,6,20,0.3941545625707421,976,-0.023043818890315926,49,0.025334682833624726,-1.0994133808381703,10.580849885940552,
2.0,7,20,0.45596274764950984,976,0.1519050074195363,49,-0.045869250926540935,-0.30196009799635976,10.69960069656372,
2.0,8,20,0.43596833686356407,976,0.04697379982242979,49,-0.26635519381297174,-5.670292691241646,10.439178228378296,
2.0,9,20,0.4306356191541611,1142,0.09688881162510023,58,-0.9604813066356641,-9.91323240037387,11.1580650806427,
2.0,10,20,0.4831747590325386,976,0.01850218301816542,49,-0.1734031633862984,-9.37203805713366,10.404518842697144,
2.0,11,20,0.4378027018987112,1048,0.021791675532330183,53,0.008578374277818357,0.39365372640077445,11.127816915512085,
2.0,12,20,0.41029095227679613,976,-0.029567390548339616,49,-0.34760707396535667,11.756433946954337,10.459957599639893,
2.0,13,20,0.43278551812456223,976,0.09650819966094445,49,-0.034121744309408245,-0.35356316281192474,10.631223917007446,
2.0,14,20,0.4277703010362589,976,-0.046976761778795055,49,0.2788605521840933,-5.936138244206708,10.553449630737305,
2.0,15,20,0.4617351485922277,976,0.06773635854629256,49,0.3802888286323088,5.614249670247785,10.726977586746216,
2.0,16,20,0.43759193979643757,976,0.05455484963949939,49,,,10.869240999221802,
2.0,17,20,0.3860050157584748,977,0.10368668133526762,49,0.4319156658308207,4.165584820235831,10.689532041549683,
2.0,18,20,0.4877244481168126,976,-0.05775624041150233,49,,,10.630632162094116,
2.0,19,20,0.4310438669290134,982,0.011626700494576432,50,0.050301408644588055,4.326370036628398,10.826188564300537,
2.0,20,20,0.46306475181520423,977,0.08203248109220528,49,-0.1503465934455342,-1.8327690622516124,10.396313190460205,
2.0,21,20,0.42822302047327876,976,0.09400946890000243,49,-0.010824718111512883,-0.11514497675789553,10.692437410354614,
2.0,22,20,0.4706004200395044,976,0.06739049984836694,49,,,10.836518287658691,
2.0,23,20,0.39546786045918764,6385,0.021179583035446165,320,0.019422828188148056,0.9170543232905953,45.03662633895874,
2.0,24,20,0.46849853196166374,976,0.1436294327743609,49,0.10566948608096087,0.7357091373253949,10.828142166137695,
2.0,25,20,0.4284882466896376,976,0.12098775672434724,49,-0.007817493967628432,-0.06461392606393587,10.414475202560425,
2.0,26,20,0.4304093780171381,976,-0.0035713441437519693,49,,,10.72036623954773,
2.0,27,20,0.3821078424794832,976,-0.02436771357838607,49,0.2219663942069174,-9.109036573862205,11.270967721939087,
2.0,28,20,0.4428485689769108,976,-0.18008553319270082,49,0.534959378362356,-2.9705849708089644,11.169661283493042,
2.0,29,20,0.45120265911220064,976,-0.0018954655609447592,49,-0.16720078445899436,88.21093239787288,10.796489715576172,
3.0,5,20,0.472129431775009,978,0.025343145462034377,49,0.3676689490981115,14.50762888327744,15.84291696548462,
3.0,6,20,0.47953692747243437,978,0.10088076938597311,49,-0.22238632583285467,-2.2044471625904967,16.005630016326904,
3.0,7,20,0.49283538946996786,977,0.10737265173015526,49,0.44828609957420307,4.17504916150174,16.089324712753296,
3.0,8,20,0.4567831380108984,978,0.12653187815035188,49,-0.7183066257361219,-5.676882665746824,15.78307819366455,
3.0,9,20,0.49463981384372163,977,0.08005702904141486,49,0.3143252496771422,3.9262667306144525,15.77762770652771,
3.0,10,20,0.4374848148739336,1019,-0.03126589229961825,51,,,15.879396915435791,
3.0,11,20,0.43182904064161043,977,0.1276714297007361,49,-0.08389201779329405,-0.6570931177784904,15.78969144821167,
3.0,12,20,0.4425451572932395,978,0.06071300336913939,49,0.13060759305799788,2.1512293217302134,16.050139904022217,
3.0,13,20,0.4927729870161622,978,0.01884898593347484,49,0.16978655804997317,9.00772904437479,16.430158615112305,
3.0,14,20,0.41456624861002206,977,0.06854132853884622,49,-0.048316107533200967,-0.7049193320759389,15.765463829040527,
3.0,15,20,0.4231710805490534,978,-0.01469549723806084,49,-0.3554481983574691,24.18755844728209,15.552174091339111,
3.0,16,20,0.47562026436988586,978,0.0475678052552809,49,,,15.954989671707153,
3.0,17,20,0.4955365483964221,978,0.05388976929164102,49,-0.330047306207386,-6.124489129304557,16.275912761688232,
3.0,18,20,0.48429455892600476,978,-0.050049739730573174,49,,,16.138598918914795,
3.0,19,20,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
3.0,20,20,0.4319928072956486,977,-0.019206147632404653,49,-0.55211433448553,28.74675052242135,15.657556533813477,
3.0,21,20,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
3.0,22,20,0.48868239715332734,978,0.0005571616048492921,49,,,15.366073369979858,
3.0,23,20,0.46007848684374364,977,-0.1239418821159902,49,,,15.597331762313843,
3.0,24,20,0.4970862333860443,2202,0.0013838597341686134,111,0.027370234620142413,19.778185566318058,25.54064679145813,
3.0,25,20,0.4728683585228347,977,0.1275949859816555,49,0.20699544017235416,1.622285065356049,16.71174693107605,
3.0,26,20,0.5061912904986428,1000,-0.3515807013947298,50,-0.028114984012071926,0.07996736993964416,17.132182836532593,
3.0,27,20,0.4806388102257188,978,0.002248448568974993,49,-0.16875197511037673,-75.0526284829838,15.625879049301147,
3.0,28,20,0.4917605228132072,977,0.1580253031521688,49,,,15.85878586769104,
3.0,29,20,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
5.0,5,20,0.48504139447129213,977,0.15254727373574808,49,0.9687583674075805,6.350545268253854,15.600703954696655,
5.0,6,20,0.49831441144994015,978,-0.09158111841648035,49,,,15.841805458068848,
5.0,7,20,0.5094175974708609,977,0.010883749533909871,49,0.5005504982453434,45.99063003846303,15.739156246185303,
5.0,8,20,0.4732096275290106,978,0.15044630671958442,49,-0.11225092242277898,-0.7461194951897524,15.724671602249146,
5.0,9,20,0.5118546836625086,977,0.13361250751424697,49,0.3975555346666205,2.9754365220952805,15.988444805145264,
5.0,10,20,0.4674066525420927,1259,0.0872111113143523,63,0.13311861509572148,1.5263951243081362,17.515920162200928,
5.0,11,20,0.4546890714875728,976,0.008062531982758856,49,0.040889341094413154,5.071526064250295,15.935749053955078,
