edge_strength,seed,n_features,n_raw_trades_used,n_scaffold_bars,n_bars,n_events,n_events_enriched,fracdiff_d,raw_signal_corr,T_raw,tw_mean,T_effective,sr_hat,dsr,pbo,oos_accuracy,prob_label_corr,skew,kurtosis,n_trials,wall_clock_sec,error
0.75,9,4,399741,997,997,568,567,0.30000000000000004,0.30235406135392695,791,0.13933532086652164,110.21423880541862,0.08159995344399336,0.7789087332752911,0.6406926406926406,0.5873015873015873,-0.02570575301026346,0.258209955665811,7.3225882395914255,20,26.92031764984131,
0.75,10,4,399818,997,997,545,542,0.2,0.244750545784804,718,0.14831953759408345,106.49342799255191,0.05046474707166429,0.5223214990578945,0.10822510822510822,0.559040590405904,-0.013205460195146323,0.17111738980046953,4.642476003077067,20,26.590065717697144,
0.75,11,4,399822,997,997,569,568,0.2,0.23749804733893676,715,0.13643346207618764,97.54992538447416,0.03624211995940956,0.5041816252565445,0.09523809523809523,0.5545774647887324,-0.11983910474646194,-0.5102556587301208,8.022641657855484,20,25.45372438430786,
0.75,12,4,399793,997,997,556,551,0.1,0.25305181885637934,352,0.12677505670515993,44.62481996021629,0.07755607960327915,0.6358906172797159,0.30735930735930733,0.5099818511796733,-0.012068350726751562,0.43964042633434547,3.6221087515997206,20,26.171195030212402,
0.75,13,4,399812,997,997,573,568,0.2,0.29269286285638635,805,0.13248858647600714,106.65331211318575,0.015042474822074721,0.47485640979761784,0.47294372294372294,0.45598591549295775,0.0861120877241427,0.3205375434983296,5.784629804330824,20,25.09278964996338,
0.75,14,4,399874,997,997,580,577,0.2,0.27139644786058936,653,0.12830585950136253,83.78372625438973,0.05336271814805784,0.6153595902902854,0.5032467532467533,0.5095320623916811,0.018597616327207783,0.1590662387314469,6.7992596458083945,20,25.278472185134888,
1.0,5,4,299825,996,996,569,568,0.2,0.3214856511230321,420,0.10871297871358863,45.65945105970722,0.08578090349333077,0.6576400849514746,0.7229437229437229,0.5299295774647887,0.07583526705961224,-0.2323701925765206,3.35026555976666,20,24.08432126045227,
1.0,6,4,299806,996,996,541,539,0.30000000000000004,0.3234148768202047,735,0.10666068237747309,78.39560154744272,0.02887278474136743,0.5451296156193349,0.8658008658008658,0.4935064935064935,-0.09369080921542162,-0.26409861121623784,3.393705749270153,20,23.341281414031982,
1.0,7,4,299696,996,996,572,570,0.2,0.30683907711077824,838,0.10232686554442325,85.74991332622668,0.07497728141232252,0.6414714015120595,0.8051948051948052,0.5298245614035088,-0.04177263212012274,-0.17679773500744064,10.745472542939789,20,24.612494945526123,
1.0,8,4,299745,996,996,549,546,0.4,0.29636504487504844,642,0.1170462477199369,75.14369103619948,-0.01733678801122031,0.4010753473164669,0.6352813852813853,0.4340659340659341,-0.02232160833710682,0.105829737935279,4.902777504517802,20,23.561482191085815,
1.0,9,4,299770,996,996,579,578,0.2,0.30924363255107773,486,0.10642681538189461,51.72343227560078,0.036875784320832015,0.5441127170562814,0.2564935064935065,0.5242214532871973,0.11111061107980454,0.5093248972249913,6.794591878510143,20,24.434157848358154,
